id,category,email_subject,email_body,ideal_reply
30,general_query,"Multi-car discount","I have two cars in my household. Do you offer a multi-car discount?","Dear [Customer Name],\n\nThank you for your enquiry.\n\nYes, we do offer multi-car policies that can provide a discount when you insure more than one vehicle with us. The discount depends on the vehicles and drivers involved.\n\nIf you would like a quote for a multi-car policy, please provide the registration numbers, makes, models, and details of the main drivers for each vehicle, and we will prepare a quote for you.\n\nKind regards,\n[Agent Name]\nCustomer Services"
31,claim,"Kitchen fire damage","We had a small fire in the kitchen last night caused by a faulty appliance. The fire brigade attended and the damage is mainly smoke and soot. How do I start a claim?","Dear [Customer Name],\n\nThank you for contacting us and I am very sorry to hear about the fire. I hope everyone is safe.\n\nTo start your claim, please contact our claims team with your policy number, the fire brigade incident reference, and photos of the damage. We will arrange for a loss adjuster to assess the extent of the damage and discuss the next steps, including cleaning, repairs, and any temporary accommodation if needed.\n\nPlease keep receipts for any emergency repairs or costs incurred, as these may be recoverable.\n\nKind regards,\n[Agent Name]\nClaims Team"
32,claim,"Accidental damage to TV","My child accidentally knocked over our TV and the screen is smashed. Is this covered under home insurance?","Dear [Customer Name],\n\nThank you for your email and I am sorry to hear about the damage to your TV.\n\nAccidental damage to contents is usually covered if you have added this option to your home insurance policy. Please check your policy schedule to confirm whether accidental damage cover is included.\n\nIf it is, you can start a claim by contacting our team with details of what happened and an estimate or receipt for a replacement. Your policy excess will apply.\n\nKind regards,\n[Agent Name]\nClaims Team"
33,claim,"Lost jewellery","I've lost a valuable ring that was listed on my home insurance. Can I claim for this?","Dear [Customer Name],\n\nThank you for your email and I am sorry to hear about your lost ring.\n\nIf the ring was specified on your policy and you have cover for loss (as opposed to theft or damage only), you may be able to claim. Please contact our claims team with the item details, the original valuation certificate, and information about when and where it was lost.\n\nWe may also ask whether the loss has been reported to the police, depending on the circumstances.\n\nKind regards,\n[Agent Name]\nClaims Team"
34,claim,"Boiler breakdown","Our boiler has broken down and the engineer says it needs replacing. Is this covered under home insurance?","Dear [Customer Name],\n\nThank you for getting in touch.\n\nMost standard home insurance policies do not cover boiler breakdowns or mechanical failures, as these are considered maintenance issues rather than insured events. However, if you have a separate home emergency or boiler cover policy with us, this may be covered.\n\nPlease check your policy documents or contact us so we can confirm what cover you have in place.\n\nKind regards,\n[Agent Name]\nCustomer Services"
35,complaint,"Claim rejected unfairly","My claim was rejected because you say I didn't disclose previous damage, but I was never asked about this when I bought the policy. I want this reviewed.","Dear [Customer Name],\n\nThank you for your email and I am sorry to hear that your claim was declined.\n\nI understand how frustrating this situation must be, and I can assure you that we will review your case thoroughly. We will look at the information provided when you purchased the policy, the terms of your cover, and the reasons for the claim decision.\n\nA senior claims handler will be in touch within the next three working days to discuss the findings. If you remain dissatisfied with the outcome, we will provide details of how to escalate your complaint further.\n\nKind regards,\n[Agent Name]\nCustomer Relations"
36,complaint,"Rude staff member","I spoke to someone in your claims team yesterday who was extremely rude and unhelpful. I want to make a formal complaint.","Dear [Customer Name],\n\nThank you for bringing this to our attention and I am very sorry to hear that you had a negative experience with one of our colleagues.\n\nWe take complaints about staff conduct very seriously and I will ensure this matter is investigated immediately. Please could you provide the date and approximate time of the call, and any other details you remember, so we can identify the colleague involved?\n\nI will arrange for a manager to review the call recording and respond to you within five working days. We are committed to treating all customers with courtesy and respect.\n\nKind regards,\n[Agent Name]\nCustomer Relations"
37,complaint,"Wrong information given","I was told I could claim for something, but now your claims team says it's not covered. Someone gave me incorrect information.","Dear [Customer Name],\n\nThank you for your email and I am sorry to hear there has been confusion about your cover.\n\nIf incorrect information was provided to you by one of our team, we take that very seriously and will investigate what happened. Please could you let us know when and how you were given this information (for example, by phone, email, or in person), and we will review the records.\n\nWe will then confirm the correct position and, if an error was made, discuss how we can resolve the situation fairly.\n\nKind regards,\n[Agent Name]\nCustomer Relations"
38,complaint,"Marketing emails after unsubscribe","I unsubscribed from your marketing emails weeks ago but I'm still receiving them. Please stop sending me these messages.","Dear [Customer Name],\n\nThank you for your email and I apologise that you are still receiving marketing communications after opting out.\n\nI have immediately removed your email address from all marketing lists and you should not receive any further promotional emails from us. Please allow up to 48 hours for this to take full effect.\n\nYou will still receive important policy-related emails such as renewal reminders and policy updates. If you continue to receive marketing emails after this time, please let me know.\n\nKind regards,\n[Agent Name]\nCustomer Services"
39,renewal,"Loyalty discount request","I've been a customer for five years and feel I should be rewarded for my loyalty. Can you offer me a discount on my renewal?","Dear [Customer Name],\n\nThank you for your email and for your continued loyalty over the past five years. We genuinely appreciate your custom.\n\nWhile we do not have a standard loyalty discount scheme, we are always happy to review your policy and renewal quote to see if there are ways we can make it more competitive. This might include adjusting your excess, reviewing optional cover, or checking for any discounts you may be eligible for.\n\nPlease contact our renewal team and we will do our best to help.\n\nKind regards,\n[Agent Name]\nCustomer Services"
40,renewal,"Payment plan change","Can I change from monthly to annual payments at renewal? Will this save me money?","Dear [Customer Name],\n\nThank you for your enquiry.\n\nYes, you can switch to annual payment at renewal, and this will usually save you money as there is no interest charge on annual payments. If you currently pay monthly, you are likely paying an additional fee for spreading the cost.\n\nYour renewal documents will show both the annual and monthly premium options. If you would like to pay annually this year, simply select that option when you renew.\n\nKind regards,\n[Agent Name]\nCustomer Services"
41,renewal,"No claims bonus query","Will my no claims bonus increase again this year at renewal, or is there a maximum?","Dear [Customer Name],\n\nThank you for your question.\n\nMost no claims bonuses increase by one year for each claim-free year, up to a maximum (often 5 or 9 years, depending on the insurer). Once you reach the maximum, it will not increase further, but it will remain protected if you have purchased no claims discount protection.\n\nYour renewal documents will confirm your current no claims bonus level and whether it has increased this year. If you would like us to check this for you, please let us know.\n\nKind regards,\n[Agent Name]\nCustomer Services"
42,renewal,"Renew with different vehicle","I'm selling my current car before renewal and buying a new one. Can I renew my policy and then change the vehicle details?","Dear [Customer Name],\n\nThank you for your email.\n\nYes, you can renew your policy and then update the vehicle details once you have purchased your new car. However, please be aware that changing the vehicle may result in a change to your premium, depending on the make, model, and value of the new car.\n\nIf you know the details of your new vehicle before renewal, we recommend updating the quote in advance so you have an accurate premium from the start.\n\nKind regards,\n[Agent Name]\nCustomer Services"
43,policy_change,"Partner moving in","My partner is moving in with me. Do I need to add them to my home insurance policy?","Dear [Customer Name],\n\nThank you for letting us know about your change in circumstances.\n\nIf your partner is moving in permanently, it is important to update your policy to reflect this, especially if they will own belongings that need to be covered or if they will be living at the property as a joint occupant. In some cases, this may affect your premium.\n\nPlease contact us with your partner's details and we will update your policy and confirm any changes to your cover or price.\n\nKind regards,\n[Agent Name]\nCustomer Services"
44,policy_change,"Occupation change","I've changed jobs and my new role has a different job title. Do I need to update my insurance?","Dear [Customer Name],\n\nThank you for letting us know.\n\nYes, it is important to update your occupation on your insurance policy as it can affect your premium and your cover. Some occupations are considered higher or lower risk, so your premium may change once we update your details.\n\nPlease provide your new job title and a brief description of your role, and we will update your policy and confirm any changes to your premium.\n\nKind regards,\n[Agent Name]\nCustomer Services"
45,policy_change,"Modify car with alloy wheels","I'm planning to fit alloy wheels to my car. Do I need to tell you about this modification?","Dear [Customer Name],\n\nThank you for checking before making the modification.\n\nYes, you must notify us of any modifications to your vehicle, including alloy wheels, as this can affect your premium and your cover. Failure to declare modifications could result in your policy being invalid or a claim being declined.\n\nPlease provide details of the modification, including the make, type, and value of the wheels, and we will update your policy and confirm any change to your premium.\n\nKind regards,\n[Agent Name]\nCustomer Services"
46,policy_change,"Working from home now","I used to commute to an office but now work from home permanently. Should I update my car insurance?","Dear [Customer Name],\n\nThank you for your email.\n\nYes, if your car usage has changed (for example, from commuting to social/domestic use only), you should update your policy. This change may reduce your premium, as you are likely driving fewer miles and facing lower risk.\n\nPlease let us know your new usage category and estimated annual mileage, and we will adjust your policy and refund any difference for the remaining period, minus any administration fee.\n\nKind regards,\n[Agent Name]\nCustomer Services"
47,general_query,"Student discount available?","My daughter has just passed her driving test and I want to add her to my policy. Do you offer a student discount or young driver discount?","Dear [Customer Name],\n\nThank you for your enquiry.\n\nWe do not offer a standard student discount, but we may be able to reduce the premium if your daughter meets certain criteria, such as having completed a Pass Plus course or maintaining good academic results.\n\nPlease provide her details (age, driving licence type, occupation, and driving history) and we will provide a quote for adding her to your policy.\n\nKind regards,\n[Agent Name]\nCustomer Services"
48,general_query,"Driving abroad","I'm planning to drive my car in France for two weeks. Am I covered by my UK insurance?","Dear [Customer Name],\n\nThank you for your enquiry.\n\nMost UK motor insurance policies provide the minimum legal cover required in EU countries, but this may be lower than your UK cover level. If you have comprehensive cover in the UK, you may only have third-party cover when driving abroad.\n\nWe recommend purchasing a short-term European travel extension to maintain your full level of cover. Please contact us and we will arrange this for you and provide confirmation for your trip.\n\nKind regards,\n[Agent Name]\nCustomer Services"
49,general_query,"Home insurance for rental property","I'm renting out my property. Do I need a different type of insurance?","Dear [Customer Name],\n\nThank you for your question.\n\nYes, if you are renting out your property, you will need landlord insurance rather than standard home insurance. Landlord policies are designed to cover buildings and liability for rental properties, and standard home insurance will not provide the right cover once tenants move in.\n\nPlease contact us and we can provide a quote for landlord insurance or arrange to switch your existing policy.\n\nKind regards,\n[Agent Name]\nCustomer Services"
50,general_query,"How to cancel policy","I've sold my car and no longer need insurance. How do I cancel my policy and will I get a refund?","Dear [Customer Name],\n\nThank you for letting us know.\n\nYou can cancel your policy by contacting us or submitting a cancellation request through your online account. If you cancel mid-term, you may receive a pro-rata refund for the remaining period, minus any cancellation fee as outlined in your policy terms.\n\nPlease note that if your vehicle is no longer in use, you must also submit a Statutory Off Road Notification (SORN) to the DVLA to avoid penalties.\n\nKind regards,\n[Agent Name]\nCustomer Services"
51,claim,"Pet damage to neighbour's property","My dog damaged my neighbour's fence and they are asking me to pay for repairs. Is this covered under my home insurance?","Dear [Customer Name],\n\nThank you for your enquiry.\n\nDamage caused by your pet to a third party's property may be covered under the liability section of your home insurance policy, depending on your level of cover. Please check your policy schedule to confirm whether liability cover is included.\n\nIf it is, please contact our claims team with details of the incident and any repair estimates from your neighbour, and we will review your claim.\n\nKind regards,\n[Agent Name]\nCustomer Services"
52,claim,"Bike stolen from garage","My bicycle was stolen from my locked garage. Can I claim for this under my home insurance?","Dear [Customer Name],\n\nThank you for your email and I am sorry to hear about the theft.\n\nBicycles are usually covered under the contents section of your home insurance if they were stolen from your home or a locked outbuilding such as a garage. However, there may be a single-item limit or a specific bicycle limit on your policy.\n\nPlease report the theft to the police and contact our claims team with the crime reference number, a description of the bike, and proof of ownership or value if possible.\n\nKind regards,\n[Agent Name]\nClaims Team"
53,claim,"Subsidence suspected","There are cracks appearing in our walls and we think it might be subsidence. What should we do?","Dear [Customer Name],\n\nThank you for contacting us and I understand your concern.\n\nSubsidence can be a serious issue, and it is important to have it assessed by a professional. Please contact our claims team immediately with photos of the cracks and any other evidence. We will arrange for a structural engineer to visit the property and determine the cause.\n\nIn the meantime, please monitor the cracks and let us know if they worsen. Subsidence claims can take time to investigate, but we will keep you updated throughout the process.\n\nKind regards,\n[Agent Name]\nClaims Team"
54,claim,"Laptop damaged by water","I spilled water on my laptop and it no longer works. Can I claim for this?","Dear [Customer Name],\n\nThank you for your email.\n\nAccidental damage to contents, such as damage caused by spilling liquid on a laptop, is usually covered if you have added accidental damage cover to your home insurance. Please check your policy schedule to confirm.\n\nIf you do have cover, please contact our claims team with details of what happened and an estimate or receipt for repair or replacement. Your policy excess will apply.\n\nKind regards,\n[Agent Name]\nCustomer Services"
55,complaint,"Settlement offer too low","The settlement you've offered for my claim is far too low and doesn't reflect the true cost of repairs. I want this reconsidered.","Dear [Customer Name],\n\nThank you for your email and I am sorry to hear that you are unhappy with the settlement offer.\n\nWe base our offers on independent assessments, market values, and the terms of your policy, but we understand that you may disagree. Please provide any additional evidence, such as alternative repair quotes or valuations, and we will arrange for a senior claims handler to review the case.\n\nWe are committed to reaching a fair outcome and will respond to you within five working days.\n\nKind regards,\n[Agent Name]\nClaims Team"
56,complaint,"Broker never passed on my changes","I asked my broker to update my address months ago, but you're saying it was never done. I shouldn't be penalised for someone else's mistake.","Dear [Customer Name],\n\nThank you for your email and I am sorry to hear about this issue.\n\nIf your broker failed to pass on your instructions to us, we will investigate what happened and ensure your policy is updated immediately. We will also review whether any penalty or impact on your cover can be waived, given the circumstances.\n\nPlease provide any evidence of your original request to the broker (such as emails or confirmation), and we will take this forward on your behalf.\n\nKind regards,\n[Agent Name]\nCustomer Relations"
57,complaint,"Claim handler not responding","I've emailed and called my claim handler several times over the past week and have had no response. This is unacceptable.","Dear [Customer Name],\n\nThank you for your email and I sincerely apologise for the lack of response from your claim handler.\n\nI have escalated this matter to their manager and asked them to contact you within 24 hours with a full update on your claim. We will also investigate why you were not kept informed.\n\nIf you do not hear from us by this time tomorrow, please contact me directly and I will follow up personally.\n\nKind regards,\n[Agent Name]\nCustomer Relations"
58,complaint,"Charged for cover I didn't want","I've just noticed I've been charged for legal cover that I never asked for. I want a full refund.","Dear [Customer Name],\n\nThank you for bringing this to our attention and I apologise if cover was added to your policy without your consent.\n\nI will review your policy records and any call recordings or documentation from when the policy was set up to understand what happened. If the cover was added in error, we will remove it immediately and refund the charges in full.\n\nI will respond to you within three working days with the outcome.\n\nKind regards,\n[Agent Name]\nCustomer Relations"
59,renewal,"Telematics device required?","I've been offered a cheaper renewal quote if I install a telematics device. What does this involve and how does it work?","Dear [Customer Name],\n\nThank you for your enquiry.\n\nA telematics device (also known as a black box) is a small device fitted to your car that monitors your driving behaviour, including speed, braking, and time of day. If you drive safely, you may be rewarded with lower premiums or discounts.\n\nThe device is usually fitted by one of our approved installers at no extra cost. You can then track your driving score via an app or online portal. If you are interested, we can provide more information and arrange installation.\n\nKind regards,\n[Agent Name]\nCustomer Services"
60,renewal,"Policy expiring soon, need cover fast","My current policy expires tomorrow and I haven't arranged new cover yet. Can you start a policy today?","Dear [Customer Name],\n\nThank you for getting in touch.\n\nYes, we can arrange cover for you immediately if you contact us by phone or complete an online quote. Please have your driving licence, vehicle details, and payment information ready.\n\nPlease remember that driving without valid insurance is illegal, so it is important to have cover in place before your current policy expires at 23:59 tonight.\n\nKind regards,\n[Agent Name]\nCustomer Services"
61,renewal,"No email access","I no longer use the email address on my account and I'm worried I won't receive my renewal documents. Can you send them by post instead?","Dear [Customer Name],\n\nThank you for letting us know.\n\nI have updated your contact preferences to send renewal documents by post, and I have also updated your email address on file if you have provided a new one. Your renewal documents will now be sent to your home address at least 21 days before your renewal date.\n\nIf you would like to update your email address, please let us know and we will change this for you.\n\nKind regards,\n[Agent Name]\nCustomer Services"
62,renewal,"Partner's policy ending, can we combine?","My partner's car insurance is ending soon and mine renews next month. Can we combine onto one multi-car policy?","Dear [Customer Name],\n\nThank you for your enquiry.\n\nYes, we can arrange a multi-car policy that covers both vehicles under one renewal date, which may save you money. To set this up, we will need details of both vehicles, drivers, and current policies.\n\nPlease contact us before your partner's policy expires and we will provide a quote for a combined policy. We may be able to align the renewal dates so both cars renew at the same time in future.\n\nKind regards,\n[Agent Name]\nCustomer Services"
63,policy_change,"Change to business use","I've started using my car for work purposes occasionally. Do I need to change my policy from social/domestic to business use?","Dear [Customer Name],\n\nThank you for checking.\n\nYes, if you use your car for business purposes (for example, travelling to client sites or carrying work equipment), you must update your policy to include business use. Using your car for work without the correct cover could invalidate your policy.\n\nPlease contact us and provide details of how you use the vehicle, and we will update your policy and confirm any change to your premium.\n\nKind regards,\n[Agent Name]\nCustomer Services"
64,policy_change,"Moving to a flat with secure parking","I'm moving to a flat with secure underground parking. Will this reduce my car insurance premium?","Dear [Customer Name],\n\nThank you for letting us know about your move.\n\nYes, secure parking such as an underground car park or locked garage can reduce your premium, as the risk of theft or damage is lower. When you update your address, please also let us know about the parking arrangements and we will recalculate your premium.\n\nThere may be a small administration fee for making the change mid-term, but you should receive a refund if the premium decreases.\n\nKind regards,\n[Agent Name]\nCustomer Services"
65,policy_change,"Add legal cover mid-term","Can I add legal cover to my policy now, or do I have to wait until renewal?","Dear [Customer Name],\n\nThank you for your enquiry.\n\nYes, you can add legal cover to your policy at any time during the policy term. The additional cost will be calculated on a pro-rata basis for the remaining period of your policy, and there may be a small administration fee.\n\nPlease let us know if you would like to proceed, and we will update your policy and confirm the additional cost.\n\nKind regards,\n[Agent Name]\nCustomer Services"
66,policy_change,"Dashcam installed—any discount?","I've installed a dashcam in my car. Do you offer a discount for having one?","Dear [Customer Name],\n\nThank you for letting us know.\n\nSome insurers do offer a discount for dashcams, as they can provide evidence in the event of an accident and may deter fraudulent claims. Please contact us with details of the dashcam (make and model) and we will check whether a discount applies to your policy.\n\nEven if a discount is not available, we recommend keeping your dashcam details on record as footage may be helpful if you need to make a claim.\n\nKind regards,\n[Agent Name]\nCustomer Services"
67,general_query,"What documents do I need for MOT?","My car's MOT is due next week. Do I need to bring my insurance documents?","Dear [Customer Name],\n\nThank you for your question.\n\nYou do not usually need to bring physical insurance documents to your MOT appointment, as the test centre can check your insurance status electronically using the Motor Insurance Database.\n\nHowever, we recommend having your certificate of insurance available in case you are asked for it. You can download a copy from your online account or request one by email.\n\nKind regards,\n[Agent Name]\nCustomer Services"
68,general_query,"What is an excess?","I keep seeing the word 'excess' on my policy documents. What does this mean?","Dear [Customer Name],\n\nThank you for your question.\n\nAn excess is the amount you must pay towards a claim before your insurance covers the rest. For example, if your excess is £250 and a repair costs £1,000, you pay £250 and we pay £750.\n\nYour excess is usually made up of a compulsory excess (set by us) and an optional voluntary excess (chosen by you). Increasing your voluntary excess can reduce your premium, but means you pay more if you claim.\n\nKind regards,\n[Agent Name]\nCustomer Services"
69,general_query,"Can I drive someone else's car?","Does my car insurance allow me to drive other people's cars?","Dear [Customer Name],\n\nThank you for your enquiry.\n\nThis depends on your level of cover and the terms of your policy. Some comprehensive policies include 'driving other cars' (DOC) cover, which provides third-party-only cover when driving another vehicle with the owner's permission. However, this is not automatic and may have restrictions (for example, you must be over 25).\n\nPlease check your policy schedule or contact us to confirm whether you have this cover.\n\nKind regards,\n[Agent Name]\nCustomer Services"
70,general_query,"Named driver no claims?","I've been a named driver on my partner's policy for three years. Can I use this to get a no claims discount on my own policy?","Dear [Customer Name],\n\nThank you for your question.\n\nUnfortunately, no claims discount usually only applies to the main policyholder, not named drivers. However, some insurers (including us) may accept proof of claim-free driving as a named driver and offer a discount when you take out your own policy.\n\nPlease contact us and we can check what evidence we need and whether a discount can be applied.\n\nKind regards,\n[Agent Name]\nCustomer Services"
